idx,cluster_id,baseline_name,as_count,n_orgs,n_subsumed_asint,orgs,verdict,wrong_asns,notes
11,"org_NSL-380,org_OARCI,org_ORG-CC547-RIPE,org_ORG-FL200-RIPE,org_ORG-HA23-RIPE,org_ORG-NS101-RIPE,org_ORG-Nz2-RIPE,org_ORG-PN10-RIPE,org_ORG-SRP1-RIPE,org_PC-369,org_RC-983,org_TORON-2,org_UIEL",DNS-OARC,50,13,12,richmond-ix corporation:14 | ninja-ix corporation:14 | tecnocratica centro de datos s l:5 | nix cz z s p o:4 | toronto internet exchange community:3 | dns-oarc:2 | ninja-ix services llc:2 | united-ix:1 | hivane association:1 | tom laermans:1 | fili-telecom llc:1 | clement cavadore:1 | ooo sirius-project:1,partial,7,"Multi-IXP; some related via federation, some unrelated"
12,"org_@aut-AS10217-APNIC,org_@aut-AS137295-APNIC,org_@aut-AS147168-APNIC,org_@aut-AS152755-APNIC,org_@aut-AS15808-ripe,org_@aut-AS38777-APNIC,org_@aut-AS4673-jpnic,org_@aut-AS55893-jpnic,org_ORG-AA74-AFRINIC,org_ORG-DD1-AFRINIC,org_ORG-ECG6-RIPE,org_ORG-GIL2-RIPE,org_ORG-HCL5-AP,org_ORG-IDC3-RIPE,org_ORG-IL11-AFRINIC,org_ORG-NA158-AP,org_ORG-NAPL3-AP,org_ORG-NCC1-AP,org_ORG-NMSB1-AP,org_ORG-NSPL9-AP,org_SECUR-26",NTTCINS,43,16,4,dimension data:8 | ntt australia solutions pty ltd:6 | pt ntt indonesia:5 | ntt managed services americas llc:4 | nttcins:3 | ntt singapore pte ltd:3 | hknet co ltd:2 | ntt msc sdn bhd:2 | ntt global data centers emea uk ltd:2 | ntt global data centers emea gmbh:2 | ntt data corporation:1 | internet solutions (kenya):1 | accesskenya group ltd is an isp serving:1 | is internetsolutions limited:1 | ntt (thailand) limited:1 | intra data communication:1,correct,0,NTT global + Dimension Data + AccessKenya — all NTT
13,"org_@aut-265887-LACNIC,org_@aut-271259-LACNIC,org_CNU-6,org_DN-154,org_LCPRL-1,org_ORG-BA21-RIPE,org_ORG-CB6-RIPE,org_ORG-CTP1-RIPE,org_ORG-NI9-RIPE,org_ORG-TA1-RIPE,org_ORG-TNFB1-RIPE,org_ORG-UNB2-RIPE,org_ORG-sTSA1-RIPE,org_SNSL-16",Telenet BV,42,14,6,sunrise gmbh:8 | virgin media limited:7 | telenet bv:6 | liberty global b v:4 | liberty communications of puerto rico llc:4 | ziggo services b v:3 | columbus networks usa inc:2 | dash networks inc:2 | ziggo b v:1 | metroplex communications inc:1 | vodafone libertel b v:1 | r w telecomunicacoes ltda me:1 | cr internet apucarana ltda:1 | seac network solutions llc:1,partial,5,Liberty Global brands; Vodafone Libertel + RW + CR + Seac + Metroplex partial
14,"org_@aut-52462-LACNIC,org_@aut-AS141809-APNIC,org_@aut-AS141810-APNIC,org_@aut-AS141811-APNIC,org_@aut-AS24193-APNIC,org_@aut-AS9583-APNIC,org_AIEB-1,org_NML-149,org_ORG-AIE1-AP,org_ORG-AIEB2-RIPE,org_ORG-DDCS1-AFRINIC,org_ORG-HGCI2-AP,org_ORG-HGCL1-AP,org_ORG-HGCL2-AP,org_ORG-HGCL3-AP,org_ORG-IGCL1-AP,org_ORG-TGCL1-AP",Sify Limited,38,11,5,hgc global communications limited:11 | amsterdam internet exchange b v:8 | sify limited:5 | international gateway co ltd:3 | djibouti data center sarl:2 | amsterdam internet exchange:2 | hgc global communications (philippines) inc:2 | hgc global communications (thailand) limited:2 | nextgen multimedia limited:1 | ams-ix (amsterdam internet exchange):1 | tianxin group co limited:1,partial,5,HGC + AMS-IX + Sify — partial cross-subgroup
15,"org_@aut-10476-LACNIC,org_@aut-13489-LACNIC,org_@aut-14709-LACNIC,org_@aut-17079-LACNIC,org_@aut-17086-LACNIC,org_@aut-18809-LACNIC,org_@aut-18869-LACNIC,org_@aut-20299-LACNIC,org_@aut-21599-LACNIC,org_@aut-23201-LACNIC,org_@aut-23243-LACNIC,org_@aut-23383-LACNIC,org_@aut-26105-LACNIC,org_@aut-262197-LACNIC,org_@aut-262206-LACNIC,org_@aut-26617-LACNIC,org_@aut-266678-LACNIC,org_@aut-27695-LACNIC,org_@aut-27716-LACNIC,org_@aut-27742-LACNIC,org_@aut-27755-LACNIC,org_@aut-27773-LACNIC,org_@aut-27798-LACNIC,org_@aut-27805-LACNIC,org_@aut-27831-LACNIC,org_@aut-27882-LACNIC,org_@aut-28008-LACNIC,org_@aut-28036-LACNIC,org_@aut-28063-LACNIC,org_@aut-52229-LACNIC,org_@aut-52262-LACNIC,org_@aut-52264-LACNIC,org_@aut-52362-LACNIC,org_@aut-52501-LACNIC,org_@aut-6487-LACNIC,org_@aut-7997-LACNIC,org_@aut-8065-LACNIC",Cable Onda,37,16,15,cable onda:9 | une epm telecomunicaciones s a:7 | servicios innovadores de comunicaciã³n y entretenimiento s a:3 | telecel s a:3 | millicom cable el salvador s a de c v:2 | comcel guatemala s a:2 | telefonia celular de nicaragua sa:2 | telemovil el salvador s a:1 | newcom limited:1 | metrored s a de c v:1 | navega com s a:1 | amnet telecomunicaciones s a:1 | colombia mã³vil:1 | telefã³nica celular de bolivia s a:1 | telefã³nica celular s a:1 | millicom cable costa rica s a:1,partial,6,Millicom group (~17); UNE EPM + Telefonica Bolivia/Peru + small unrelated
16,"org_@aut-264459-LACNIC,org_@aut-267494-LACNIC,org_@aut-267642-LACNIC,org_@aut-AS133339-APNIC,org_@aut-AS150955-APNIC,org_@aut-AS45711-APNIC,org_@aut-AS58396-APNIC,org_@aut-AS58401-APNIC,org_BL-1115,org_LEL-77,org_ORG-BL591-RIPE,org_ORG-CIT3-RIPE,org_ORG-FMP2-RIPE,org_ORG-ISZO82-RIPE,org_ORG-LJR2-RIPE,org_ORG-NIS3-AP,org_ORG-NM142-RIPE,org_ORG-NO57-RIPE,org_ORG-SA4902-RIPE,org_ORG-SNL11-AFRINIC,org_ORG-STRM2-RIPE,org_ORG-TK152-RIPE,org_ORG-TMX1-RIPE,org_ORG-TPL50-AP,org_ORG-dIG4-RIPE,org_YL-83",Ydio LLC,32,22,18,dogado gmbh:8 | pt dewata telematika:3 | cjsc indigo tajikistan:2 | imediabiz indonesia:1 | nomadl ou:1 | turon media xk:1 | techarob pty ltd:1 | netcom internet service:1 | pt mitra integra telekom:1 | interwan sp z o o:1 | skypass solutions sp z o o:1 | francesco masala:1 | botshield ltd:1 | nathan moore:1 | lenin jabib ramirez:1 | tomoki kudo:1 | net alternativa provedor de internet ltda - me:1 | dnl network telecomunicaãães ltda:1 | sabi networks limited:1 | beideal llc:1 | linespeed:1 | ydio llc:1,partial,5,"Heterogeneous small orgs; some grouped, some solo"
17,"org_@aut-AS142500-APNIC,org_@aut-AS142501-APNIC,org_@aut-AS142502-APNIC,org_@aut-AS149600-APNIC,org_@aut-AS154065-APNIC,org_@aut-AS58899-APNIC,org_@aut-AS59181-APNIC,org_@aut-AS59182-APNIC,org_ORG-NEN1-AP,org_ORG-NIC2-AP,org_ORG-NKN1-AP",NKN EDGE Network,19,4,1,national knowledge network:10 | national internet exchange of india:7 | national informatics centre:1 | nixi-csc data center:1,correct,0,Indian gov network (NKN/NIXI/NIC)
18,"org_ORG-TI10-AP,org_ORG-TIIK1-AP,org_ORG-TIIP1-AP,org_ORG-TIIP2-AP",Telekomunikasi Indonesia (PT),11,4,1,telekomunikasi indonesia (pt):4 | telekomunikasi indonesia international pt:3 | telekomunikasi indonesia international pte ltd:2 | telekomunikasi indonesia international (hong kong) limited:2,correct,0,Telkom Indonesia variants
19,"org_@aut-AS137740-APNIC,org_@aut-AS137741-APNIC,org_@aut-AS37958-APNIC,org_@aut-AS45098-APNIC,org_@aut-AS58856-APNIC,org_@aut-AS63541-APNIC,org_@aut-AS63542-APNIC,org_@aut-AS63543-APNIC,org_ORG-LDPL1-AP",Edgenext Legend Dynasty Pte. Ltd.,10,2,2,beijing blue i t technologies co ltd:8 | edgenext legend dynasty pte ltd:2,partial,2,Beijing Blue I T + EdgeNext uncertain
20,"org_@aut-263796-LACNIC,org_@aut-265766-LACNIC,org_@aut-273213-LACNIC,org_@aut-273214-LACNIC,org_@aut-273215-LACNIC,org_@aut-273216-LACNIC,org_@aut-28110-LACNIC,org_@aut-28317-LACNIC,org_BCL-284",NAVEGALO S.A.,9,2,2,navegalo s a:8 | boomerang communications llc:1,partial,1,Navegalo + Boomerang unrelated
21,"org_ORG-HKBI1-AP,org_ORG-UFWD2-AP",HONG KONG BRIDGE INFO-TECH LIMITED,7,2,1,hong kong bridge info-tech limited:4 | union fu wah digital technology limited:3,partial,3,HK Bridge + Union Fu Wah uncertain
22,"org_@aut-271502-LACNIC,org_@aut-AS137144-APNIC,org_ORG-CCL5-AP,org_ORG-DL538-RIPE,org_ORG-IMSP1-RIPE",Debugged Ltd,6,5,3,citylink co ltd:2 | infraweb manage services provider s r l:1 | passit media and communication pvt ltd:1 | debugged ltd:1 | xybernet telecom:1,partial,2,"CityLink anchor; some related, some solos"
23,"org_ORG-TBJ1-RIPE,org_ORG-TML27-RIPE",T-MOB LLC,6,2,2,"""tbank"" jsc:5 | t-mob llc:1",partial,1,TBank + T-Mob uncertain
24,"org_LUYSI-1,org_ORG-ASL11-AP","luYs, Inc.",6,2,1,aperture science limited:5 | luys inc:1,partial,1,Aperture Science + Luys unrelated
25,"org_@aut-22011-LACNIC,org_@aut-22908-LACNIC,org_@aut-23353-LACNIC,org_@aut-262218-LACNIC,org_@aut-262931-LACNIC,org_@aut-52454-LACNIC",Servicios de TI,6,5,3,sixsigma networks mexico s a de c v:2 | metro net hosting s de r l de c v:1 | servicios de ti:1 | servicios de tecnologã­as de informaciã³n de misiã³n crã­tica s a:1 | servicios de ti dominicana sc sas:1,wrong,4,Sixsigma anchor; mixed Latin servicios solos
26,"org_ORG-IIL39-RIPE,org_ORG-UBNL1-RIPE","Internet Invest, Ltd.",6,2,2,internet invest ltd:3 | ukrainian backbone networks llc:3,partial,3,Internet Invest + Ukrainian Backbone — partial Ukrainian related
27,"org_INS-50,org_SSCT-2",Aureon Network Services,6,2,1,aureon network services:5 | south slope cooperative telephone company:1,partial,1,Aureon + South Slope unrelated
28,org_RCC-291,Shaw Communications,6,4,2,shaw communications:3 | shaw communications inc:1 | shaw telecom g p:1 | shaw cable systems ltd:1,correct,0,Shaw Communications
29,"org_ORG-MTL6-AFRINIC,org_ORG-TCSS1-AFRINIC,org_ORG-TM3-AFRINIC,org_ORG-TS5-AFRINIC",MIC TANZANIA LTD,6,4,3,mic tanzania ltd:3 | telecom malagasy:1 | saga africa holdings limited:1 | telecom comores s a (telco s a):1,partial,2,MIC Tanzania + Telecom Malagasy + Comores — Saga Africa Holdings group
30,"org_@aut-AS18042-APNIC,org_ORG-ANSL3-AP,org_ORG-HMCI1-AP,org_ORG-SWL3-AP",Koos Broadband Telecom,5,2,2,hoshin multimedia center inc:4 | koos broadband telecom:1,partial,1,Hoshin + KOOS unrelated
31,"org_ORG-PB32-RIPE,org_ORG-SCS33-RIPE,org_ORG-nA332-RIPE",SEWAN SAS,5,3,3,sewan sas:3 | sewan nederland b v:1 | sewan belgium sa:1,correct,0,Sewan group
32,"org_ORG-AA2961-RIPE,org_ORG-AA617-RIPE,org_ORG-IA793-RIPE,org_ORG-WL220-RIPE",WEB LLC,4,4,3,web llc:1 | infotech llc:1 | armenian internet traffic exchange 'armix' foundation:1 | art-net llc:1,partial,2,ARMIX + Armenian related; Web/InfoTech/Art-Net partial
33,"org_ORG-FHS3-RIPE,org_ORG-MCSL3-RIPE",Fornex Hosting S.L.,4,2,2,fornex hosting s l:3 | mtb computer services ltd:1,partial,1,Fornex + MTB unrelated
34,"org_LMIG,org_SAI-21",Liberty Mutual Group,3,2,2,liberty mutual group:2 | state auto insurance company:1,partial,1,Liberty Mutual + State Auto unrelated
35,"org_ALYRI,org_AMFIB","Amfiber, Inc.",3,2,2,alyrica networks inc:2 | amfiber inc:1,partial,1,Alyrica + AmFiber unrelated
36,"org_ORG-AI97-RIPE,org_ORG-TISS9-RIPE",Asociatia Interlan,3,2,1,asociatia interlan:2 | telecom it solutions srl:1,partial,1,Asociatia Interlan + Telecom IT Solutions partial
37,"org_ORG-DCB1-RIPE,org_ORG-UIB2-RIPE",Denit B.V.,3,2,2,denit b v:2 | uniserver internet b v:1,partial,1,Denit + Uniserver Dutch hosting partial
38,"org_@aut-AS131585-APNIC,org_@aut-AS131637-APNIC,org_@aut-AS38843-APNIC",FastCould,3,2,2,pumo network digital technology co ltd:2 | fastcould:1,partial,1,Pumo + Fastcould unrelated
39,"org_@aut-AS23911-APNIC,org_@aut-AS4538-APNIC",China Next Generation Internet Beijing IX,2,2,1,china education and research network center:1 | china next generation internet beijing ix:1,correct,0,CERNET + CNGI Beijing IX
40,"org_ORG-HGL9-RIPE,org_ORG-LHL19-RIPE",LOOKING HOUSE LLC,2,2,2,hosting gallery llc:1 | looking house llc:1,partial,1,Hosting Gallery + Looking House unrelated
41,"org_BFC-34,org_RSSL-3","Tail Light, LLC",2,2,2,bok financial corporation:1 | tail light llc:1,partial,1,BOK Financial + Tail Light unrelated
42,"org_MESD,org_NRE-5",Northwest Regional ESD,2,2,2,northwest regional esd:1 | multnomah education service district:1,correct,0,Oregon ed service districts
43,"org_@aut-264973-LACNIC,org_@aut-52978-LACNIC",RG3.Net Comercio e Servicos Ltda.,2,2,2,rg3 net comercio e servicos ltda:1 | zrl provedor de internet ltda - me:1,partial,1,RG3 + ZRL unrelated
44,"org_@aut-AS149753-APNIC,org_ORG-AACB4-RIPE",PT Global Sarana Mediakom,2,2,1,amwaj alkhyr commercial brokers co:1 | pt global sarana mediakom:1,partial,1,Amwaj + PT Global Sarana unrelated
45,"org_@aut-AS133664-APNIC,org_ORG-IDSP2-AP",TelexAir Telecom Pvt Ltd,2,2,1,telexair telecom pvt ltd:1 | infynix data services private limited:1,partial,1,Telexair + Infynix unrelated
46,"org_@aut-AS63891-APNIC,org_@aut-AS63892-APNIC","Ming Ding Co., Ltd.",2,2,2,ming ding co ltd:1 | ruike creative integrated marketing co ltd:1,partial,1,Two unrelated Chinese tech
47,org_ORG-TL703-RIPE,Tetron LTD,2,2,2,resource group llc:1 | tetron ltd:1,partial,1,Resource Group + Tetron unrelated
48,"org_ORG-FLE1-RIPE,org_ORG-FVFF1-RIPE",4830.org e. V.,2,2,2,4830 org e v:1 | freifunk lippe e v:1,correct,0,4830 org + Freifunk Lippe (Freifunk movement)
49,"org_ORG-GSCI1-AP,org_ORG-WC1-RIPE",WildPark Co,2,2,2,wildpark co:1 | gfl systems clark inc:1,partial,1,Wildpark + GFL Systems unrelated
50,"org_@aut-262685-LACNIC,org_@aut-53132-LACNIC",ScherrerNet InformÃ¡tica Ltda ME,2,2,2,mega grupo de telecomunicaã§ãµes ltda:1 | scherrernet informã¡tica ltda me:1,partial,1,Two unrelated Brazilian
